,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
702,DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,36990,50586,26,4.2,137,15
703,DELL,Ryzen,AMD,Ryzen 3,Missing,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,53640,25,4.6,7,0
704,ASUS,Ryzen,AMD,Ryzen 3,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,33690,37990,11,4.2,170,26
706,ASUS,VivoBook,AMD,Ryzen 3,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,37990,46990,19,4.2,39,3
707,ASUS,VivoBook,AMD,Ryzen 3,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,34500,42990,19,4.3,2886,375
708,acer,Aspire,AMD,Ryzen 3,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,36990,44999,17,4.6,11,2
709,HP,Ryzen,AMD,Ryzen 3,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,43490,52990,17,4.6,163,33
710,HP,Ryzen,AMD,Ryzen 3,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,41490,51748,19,4.2,153,21
712,HP,15s,AMD,Ryzen 3,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44490,49000,9,4.3,267,42
714,DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42090,56771,25,3.3,3,0
715,DELL,Vostro,AMD,Ryzen 3,Missing,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,35990,50651,28,4.1,59,12
716,HP,15s,AMD,Ryzen 3,Missing,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,39490,40957,3,4.2,7291,895
717,DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,37390,50149,25,4.2,38,5
719,DELL,Inspiron,AMD,Ryzen 3,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,39990,49613,19,4.1,409,39
721,HP,15q,AMD,Ryzen 3,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,32917,32917,0,4.0,353,58
722,Lenovo,Ryzen,AMD,Ryzen 3,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34990,36923,5,3.3,38,6
723,DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,39990,51574,22,3.1,18,4
724,HP,15s,AMD,Ryzen 3,Missing,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,41999,48294,13,4.3,3524,432
725,HP,Chromebook,MediaTek,MediaTek Kompanio,10th,4 GB,DDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,22990,26663,13,3.8,4623,553
726,HP,Chromebook,MediaTek,MediaTek Kompanio,10th,4 GB,LPDDR4X,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,22490,24845,9,3.8,4623,553
727,HP,Chromebook,MediaTek,MediaTek Kompanio,10th,4 GB,LPDDR4X,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,22990,24845,7,3.8,4623,553
728,MICROSOFT,Surface,AMD,Ryzen 5,Missing,4 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,99990,124999,20,3.8,9,0
